LandsatID,Hylak_id,date,Aerosol,Blue,Red,Green,Nir,Swir1,Swir2,TIR1,TIR2,sat,pCount_dswe1,pCount_dswe3,year,dWL
1_2_LE07_024030_20100420,9086,2010-04-20,-99,351,307,375,339,196,137,2813,-99,l7,66,0,2010,514
1_2_LE07_024030_20100607,9086,2010-06-07,-99,369,295,455,258,175,150,2892,-99,l7,66,0,2010,521
1_2_LE07_024030_20100709,9086,2010-07-09,-99,340,292,500,231,111,107,2950,-99,l7,66,0,2010,538
1_2_LE07_024030_20100826,9086,2010-08-26,-99,204,172,351,133,13,-4,2945,-99,l7,66,0,2010,540
1_2_LE07_024030_20100927,9086,2010-09-27,-99,217,158,286,131,22,-2,2886,-99,l7,66,0,2010,519
1_2_LE07_024030_20101013,9086,2010-10-13,-99,561,503,645,552,375,293,2819,-99,l7,66,0,2010,532
1_2_LE07_024030_20101029,9086,2010-10-29,-99,548,505,606,535,423,331,2778,-99,l7,66,0,2010,535
1_2_LE07_024030_20110626,9086,2011-06-26,-99,458,427,604,419,269,223,2913,-99,l7,66,0,2011,543
1_2_LE07_024030_20110712,9086,2011-07-12,-99,314,230,426,249.5,87,84,2939,-99,l7,66,0,2011,522
1_2_LE07_024030_20110829,9086,2011-08-29,-99,256,190,419,159,7,17,2939,-99,l7,66,0,2011,533
1_2_LE07_024030_20110930,9086,2011-09-30,-99,386,306,428,229,124,109,2870,-99,l7,66,0,2011,509
1_2_LE07_024030_20111101,9086,2011-11-01,-99,378,269.5,397.5,207,64,34,2830,-99,l7,66,0,2011,500
1_2_LE07_024030_20111117,9086,2011-11-17,-99,415,276,426,168,79,85,2784,-99,l7,66,0,2011,497
1_2_LE07_024030_20120104,9086,2012-01-04,-99,353,196,344,158,47,-1,2728,-99,l7,66,0,2012,494
1_2_LE07_024030_20120308,9086,2012-03-08,-99,376,237,342,175,57,60,2709,-99,l7,66,0,2012,489
1_2_LE07_024030_20120409,9086,2012-04-09,-99,388,323,424,298,213,171,2807,-99,l7,66,0,2012,511
1_2_LE07_024030_20120527,9086,2012-05-27,-99,410,298,409,333,175,128,2918,-99,l7,66,0,2012,496
1_2_LE07_024030_20120628,9086,2012-06-28,-99,737,586,809,538,314,246,2945,-99,l7,66,0,2012,508
1_2_LE07_024030_20120730,9086,2012-07-30,-99,335,200,405,155,18,12,2950,-99,l7,66,0,2012,506
1_2_LE07_024030_20120815,9086,2012-08-15,-99,290,190,343,161,44,37,2924,-99,l7,66,0,2012,507
1_2_LE07_024030_20120831,9086,2012-08-31,-99,386,244,439,242,67,36,2945,-99,l7,66,0,2012,503
1_2_LE07_024030_20120916,9086,2012-09-16,-99,742,569,728,630,123,63,2908,-99,l7,66,0,2012,494
1_2_LE07_024030_20121002,9086,2012-10-02,-99,394,276,402,231,81,57,2870,-99,l7,66,0,2012,497
1_2_LE07_024030_20121221,9086,2012-12-21,-99,749,364,541,210,46,-2,2747,-99,l7,66,0,2012,480
